Date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування інших корисних копалин та розроблення кар'єрів,Виробництво харчових продуктів,Виробництво напоїв,Текстильне виробництво,Виробництво одягу,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",Виробництво паперу та паперових виробів,"Поліграфічна діяльність, тиражування записаної інформації",Виробництво хімічних речовин і хімічної продукції,Виробництво гумових і пластмасових виробів,Виробництво іншої неметалевої мінеральної продукції,"Виробництво готових металевих виробів, крім машин і устатковання","Виробництво комп'ютерів, електронної та оптичної продукції",Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.",Виробництво меблів,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Будівництво споруд,Спеціалізовані будівельні роботи,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Наземний і трубопровідний транспорт,Авіаційний транспорт,Діяльність із забезпечення стравами та напоями,"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Операції з нерухомим майном,Діяльність головних управлінь (хед-офісів); консультування з питань керування,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,"Оренда, прокат і лізинг","Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність",Охорона здоров'я,Водний транспорт,"Каналізація, відведення й очищення стічних вод","Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування",Складське господарство та допоміжна діяльність у сфері транспорту,Діяльність у сферах права та бухгалтерського обліку,"Діяльність у сфері спорту, організування відпочинку та розваг","Збирання, оброблення й видалення відходів; відновлення матеріалів",Видавнича діяльність,Рекламна діяльність і дослідження кон'юнктури ринку,Допоміжна діяльність у сферах фінансових послуг і страхування,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність",Діяльність охоронних служб та проведення розслідувань,"Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги",Виробництво інших транспортних засобів,Лісове господарство та лісозаготівлі,Ремонт і монтаж машин і устатковання,Обслуговування будинків і територій,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",Тимчасове розміщування,Надання інформаційних послуг,Виробництво іншої продукції,"Виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів",Металургійне виробництво,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,Надання послуг догляду із забезпеченням проживання,Ветеринарна діяльність,"Виробництво автотранспортних засобів, причепів і напівпричепів",Освіта,Надання інших індивідуальних послуг,"Інша професійна, наукова та технічна діяльність"
2020-12-01,46310.70287,429148.5221,33103.55327,7114.7541,3903.42238,2629.4813,30235.36711,726.75919,2737.02075,2364.92719,1327.64138,20360.12295,510.55603,43052.16757,10232.29001,13845.0078,21181.2936,1303.01456,646947.06477,123139.35972,0.79763,661.02378,50796.40763,1329433.86299,17856.1129,1854.4573,113720.9053,733.98208,109526.43406,111466.82275,2845.84907,43075.87214,25425.00376,17836.34239,19015.58419,,,,1674.02488,780.31345,3432.62583,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,45863.01913,618010.33847,35013.20324,7118.90411,1070.64338,2447.40365,29763.93827,683.84227,2588.7574,3086.97793,1327.64138,15254.08957,1018.26027,42585.66527,10287.38898,13970.84612,29524.52413,1257.66603,660228.02543,123305.12067,,470.08074,48400.10681,1498414.26414,14706.41817,1702.95287,113198.3221,693.18668,109057.58295,19069.94019,67808.88693,72421.65939,24024.5486,17669.5057,18716.59395,,,,3361.59362,706.94681,7057.97534,,,,,,2267.43654,,,,,,,,,,,,,,,,,,
2021-03-01,45435.50719,637567.4065,60208.78497,7107.39726,1093.65708,2353.19425,29047.27812,661.86494,2511.14896,3041.78817,1327.64138,20273.52529,1016.49316,42160.29463,10294.4811,14008.05286,29501.60351,1222.45732,635271.10054,123331.35377,,373.45395,48260.81208,1524417.15436,2569.40782,1701.71984,112103.47082,671.89052,105252.39649,18064.64266,67760.7998,72742.69788,38886.49099,17958.35204,18536.40791,,,,,679.18099,7050.08699,,,,,,2150.13926,,,,,,,,,,,,,,,,,,
2021-04-01,44665.33577,639528.54311,79717.22946,29616.93988,2064.01842,2262.86201,29081.25819,644.37474,7477.31085,3001.59904,1327.64138,20312.89297,1018.26027,42120.88098,9871.4455,,87086.22339,1189.30603,651579.1464,114807.72771,30156.63876,278.36164,47533.18384,1388250.3944,2544.00154,1703.26083,112053.26194,651.65868,131303.04376,10383.81479,67804.46052,22883.40092,22951.48994,18449.91822,18408.43311,,,,17022.97723,625.41142,7055.55973,,,,,,2051.56965,19960.14234,14225.25638,,,,,,,,,,,,,,,,
2021-05-01,86566.31816,626951.2102,71232.1102,23550.67982,2026.38699,2170.5773,29078.70564,3622.16717,7542.50978,2958.71251,1327.64138,26543.04161,,41907.25163,10147.06895,,108331.66815,1155.03826,777325.38105,120359.64643,32882.83723,182.60537,47400.54231,1388864.36615,2513.81186,1703.30665,111528.3489,606.88083,170059.01771,7282.75522,67714.94849,22861.83315,22180.65703,18545.4463,18252.21991,,,,71172.45693,528.75393,7013.44426,,,,,,1944.38839,10.84932,,,,,,,,,,,,,,,,,
2021-06-01,332171.15938,729047.13936,78712.06499,67334.17746,2061.17047,2152.92006,29093.84357,3536.3187,7432.27108,2917.49003,1327.64138,30905.15611,,41539.6369,10072.86768,,122892.85721,1121.40638,784475.28529,123825.69344,66669.80208,86.97798,49722.14577,1497444.06928,2587.70158,1704.29821,110599.16169,610.02253,167266.88574,7282.75522,67696.31265,22874.15759,21423.59047,18413.5444,20881.78517,,,,71598.32477,496.69156,7056.38704,,,,,,1831.82117,,,,,,,,,,,,,,,,,,
2021-07-01,737391.77428,923295.64451,77404.47081,71010.62484,111.01473,1989.45597,30095.37278,3429.97073,7188.78775,2874.65582,1327.64138,39864.64347,,41040.8664,9743.04787,,124029.12425,1087.14378,776964.25348,124712.06106,146907.16437,,49026.21631,1446680.40772,3070.05883,2212.97651,109313.71133,587.41682,166914.14151,5607.08111,67614.65078,22861.83315,20652.17506,18227.32616,24706.14856,,,,71579.00995,456.32914,6923.42978,,,,,205.28889,1714.9509,19920.84335,,,,,,,,,,,,,,,,,
2021-08-01,1013779.55021,935409.31452,89231.8435,68340.4652,113.14656,1898.1795,30395.97619,3326.37209,7059.09473,2788.90804,1406.46531,43784.33321,,40612.63648,9631.10958,,123392.97557,1053.65617,788528.27685,116301.52278,111648.22215,950.49205,49606.12863,1443337.15404,26941.127,3341.02511,108221.14102,565.94913,172151.93868,5701.7339,2579.94759,22904.96868,63020.1788,18027.34143,24331.89608,,,,79061.45313,438.36528,6795.77078,,,,,188.76388,1603.49618,9.86301,,303.4,,,,,,,,,,,,,,,
2021-09-01,1193239.25952,892732.56323,94825.51873,80968.04704,1846.16196,1940.26007,30468.38859,3445.02152,6949.88073,2701.24268,1323.73687,43236.19247,,40573.02907,9562.65326,,120992.1198,1019.443,623545.66268,108710.64043,29129.96289,921.03004,49666.68054,1762479.98567,27115.64922,2685.6912,108159.82495,539.24415,156924.89738,6166.97021,2392.98559,23257.61365,64067.08848,17576.44885,23806.2742,,,,79061.59495,400.61616,6663.38497,,,,,171.57778,1508.19675,48.57626,,300.35556,905.95,1096.95086,,,,,,,,,,,,,
2021-10-01,1417411.43847,956635.65028,92749.8128,83512.35728,1016.2922,1713.78731,30382.13822,3422.04403,6764.24024,2613.65959,1728.61375,34599.60246,,40535.06617,9345.26623,,119705.35491,985.24926,697631.56037,101260.53005,82704.57323,1201.55746,53128.60852,1937415.21942,26596.90922,2112.37621,107033.40995,867.61028,149439.75792,6856.18181,2842.53966,24984.57816,105804.81987,16747.06831,23270.91054,,,,79199.97932,373.5028,6530.5443,,,,,404.51758,1399.03293,20029.62864,,291.51065,8243.26439,1041.08185,,,,,,,,,,,,,
2021-11-01,1396828.83542,921838.78288,107950.82486,87865.89916,1151.30997,1652.47828,30684.58295,3300.88264,6435.93763,2527.68171,1723.1862,31214.54655,502.83467,40405.67551,9203.09821,,118874.64963,951.68001,671300.25862,73984.22602,138958.21237,1085.77424,54122.83578,2203114.16417,28250.37854,2105.35505,106099.36961,2101.02767,145654.33319,7263.7841,2434.3811,24161.14208,105700.74605,15731.69739,22755.43847,,,,80303.24434,356.51391,6402.8169,,,,,771.82869,1416.53415,20298.96752,,948.87778,9490.02287,963.1199,863.18788,,,,,,,,,,,,
2021-12-01,43537.04921,877123.48102,106676.76032,156015.75688,2128.57234,2979.41509,31014.73768,3173.01867,6228.69246,2440.59597,1331.19231,28176.41109,593.57969,50060.73502,9245.25129,3.4985,129869.30834,917.70272,827779.16473,75064.84263,56300.21953,1306.0928,46274.72683,3702068.2298,28790.92302,2239.9889,108363.68005,2347.03871,87385.62439,7159.20501,2824.76524,,59470.38634,15459.44232,57310.09766,,,,148827.02739,341.41442,6271.60862,,,,,683.93461,1370.15183,,,887.63417,14866.20361,1086.82576,383.8719,342.56889,,,,,,,,,,,
2022-01-01,43704.15493,698340.53571,93167.00713,132383.23023,1194.31122,3015.09279,31401.41769,4092.51391,5956.52091,2354.66376,10378.23063,28197.67989,587.59845,50472.34014,9330.04449,5.07222,113086.57048,843.27806,481917.51193,57702.79124,54522.53024,1932.92942,7828.48568,1938509.61513,30355.7132,3235.56831,,2830.53313,87295.27815,7138.16631,2810.94849,5526.24052,58236.28155,15180.45453,75793.51547,,,,153712.65242,326.26401,6143.62283,,,1017.6742,,614.22952,1263.79362,19970.59463,,1403.31278,16911.94962,908.23809,831.24844,340.42973,303.20882,,,18914.13727,,,,,,,
2022-02-01,46116.53354,1087795.2291,106782.15978,159230.18977,1139.99417,2761.34272,31996.31407,4125.59984,5785.00655,2267.79062,16275.64713,28209.63581,474.3762,52738.24094,9674.87484,939.79133,111305.76618,826.83085,793260.3578,61087.94282,137335.05918,6882.35365,32995.60581,2053517.45866,29153.76575,3720.2401,173656.81747,2438.46238,117712.26614,7359.2477,2243.24278,6463.3719,57971.50323,14738.35485,75305.2394,,,,150545.19621,287.90583,6013.41387,,,1413.67249,,643.82054,1221.34504,236.33865,,1278.39892,22560.91885,977.35165,758.44565,330.71769,1283.2119,,,,,,,,,,
2022-03-01,46871.15287,1134960.79608,119201.46979,166702.68831,5435.0737,2639.43549,32173.93236,4370.94325,5646.8157,2573.20028,22034.29106,28192.49608,510.29587,53174.00266,9858.80867,418.74594,106792.07825,809.68041,914464.91521,65731.58105,131923.34306,7271.12964,35118.38929,2233004.38376,31162.91896,4209.10277,176572.95827,3360.3305,113682.64555,7176.47939,2179.57627,6363.89343,71700.67179,15104.24338,80703.41434,,,,154499.30085,271.81105,5876.227,,,1392.77758,,776.30412,1145.72705,48.97039,,929.9162,24714.79931,20183.64152,1155.11144,320.10477,2262.48911,655.01974,608.78333,,,,,,,,
2022-06-01,46882.63044,1401525.78593,130378.053,166278.76552,134.05225,2654.46209,33655.44138,4543.49399,5473.53514,2560.60169,7230.28633,28676.36173,551.97107,54437.11211,9926.7162,395.16946,108038.64985,815.8536,738497.64441,62521.64475,27884.87545,2500.74442,48763.48634,2332742.08793,23834.32851,4090.82082,96745.74981,3312.12471,111585.62392,6873.06665,2130.53763,5385.46593,57645.08546,15515.24832,82881.63243,,,,79937.62105,256.28862,5970.22193,,,1488.25181,,749.25149,1157.91275,,,404.76141,1795.55528,20819.54056,1011.01212,346.95609,2407.7427,631.95986,655.67725,,,,,,,,
2022-07-01,46882.63044,1349640.25397,142912.52316,173905.53107,136.11531,2651.53844,33805.69415,4583.68322,13059.17165,2547.42318,1802.59793,28449.4629,563.43173,54862.69294,9899.5476,359.36068,122243.02946,814.72209,737735.9984,61925.0905,30078.8809,2470.23655,51864.49536,2305668.55457,21961.36168,4130.07639,96725.34247,3291.17561,109478.21504,6917.70124,2067.8278,2546.42744,57811.36225,15640.46431,83160.56804,,,,77610.38808,229.28143,5875.31175,,150.7,1516.25677,,746.71141,915.50739,,,323.76475,1838.46615,20726.70211,137.11114,355.79399,2433.87914,479.81299,672.11359,,,,,,,,
2022-08-01,58623.75639,1450542.57512,145329.67275,187240.69223,138.24714,2604.32781,34364.68611,4629.26134,10928.8329,2461.60118,1802.95771,28672.35194,576.45353,66709.21003,10179.77204,319.16576,121168.44382,819.95803,655238.95236,38196.93845,36035.77001,2517.73394,51922.25577,2225216.53477,21778.88855,4153.94959,120932.10459,3312.6748,112770.24716,6962.00957,1962.26448,5069.41056,64582.13139,15951.36274,82933.18158,,,,93645.12851,230.13664,301.05,452.1,149.13854,1524.33713,,715.04781,780.16711,0.07559,,252.88605,1886.04778,1215.60438,103.02225,364.92519,2468.52667,477.8697,686.38737,,204.43333,,,,,,
2022-09-01,58623.75639,1432404.08653,145008.23387,176743.32425,1307.66716,2223.53494,34618.94716,5116.27242,11017.45449,2333.86325,1323.17313,28785.47754,588.95125,66571.40382,10193.52042,4.90588,121293.91081,753.29784,763090.38294,37817.40782,46075.0077,2478.95863,53089.09038,1975866.43491,22208.29253,4191.27296,120932.10459,3722.54111,113923.7906,7009.50523,1880.11515,5520.17957,121353.27633,16103.82934,62740.93118,,,,92155.03649,731.5958,,447.45938,142.67708,1535.28918,,664.50702,636.70201,32.88742,,162.81157,1933.69361,1374.77997,68.61855,374.05009,2508.19948,476.45898,698.88922,,198.74445,,,,,,
2022-10-01,60452.18639,1330168.08652,143898.32165,171942.15161,1369.87381,2197.98436,35186.28041,5123.31619,10918.53145,2315.34257,1322.81335,23328.25901,601.74805,66642.02962,9975.02929,33.52119,119651.35556,921.38026,595052.98564,32643.94401,46297.73211,6929.94924,52337.74945,1951291.3095,22487.30343,4871.60772,120906.59543,3720.63778,111537.62091,7053.66873,1795.37678,5193.84474,122265.009,16250.01037,63181.89099,,,,89394.86235,701.73703,392.275,427.52812,360.88307,1541.6419,,611.76288,123.39179,20306.3251,,352.19899,1979.28626,1052.66342,,382.86701,2272.99843,4.70491,715.23601,,189.86667,,,,,,
2022-11-01,55036.07395,1304759.89421,143116.29715,173167.34025,,2162.84147,35513.52176,5067.01993,10607.61793,2166.21748,,22370.74875,612.79425,66010.8167,9843.8059,46.76084,118678.90474,876.4814,545792.18669,31489.73708,45997.99569,6598.44836,47667.56279,1895243.531,19744.39302,4779.60476,120932.10459,3716.02197,111655.60914,2264.72966,1712.99467,2731.79716,120952.05206,16389.41217,62417.19374,,,,109636.08775,681.67099,690.19125,408.58125,470.05314,1536.78591,,535.03265,125.84526,20306.76513,,456.34428,1922.52561,1217.48042,,31.54077,2271.07106,0.10098,732.26484,,181.44585,,,,,,
2022-12-01,60521.36395,1280605.33196,142432.02016,162260.73446,,2109.47408,35990.73458,5034.68099,10356.18909,2024.51562,,14863.48988,626.33411,66513.2063,9880.76727,0.57645,119223.24636,768.61295,452044.89233,29246.39186,45666.18736,6409.18895,17752.42938,1876002.30763,19750.60749,4544.07135,120715.68576,3709.01002,111729.59732,2311.13207,1623.26884,436.49604,117336.79424,16424.42427,62160.85746,,,,113555.49892,814.61949,668.43911,388.71563,463.71101,1757.82639,,502.57738,118.67805,20304.18613,,339.6336,1018.29673,1555.94474,,,1568.44435,0.15234,748.74434,,172.6264,,,,,,
2023-01-01,60637.09955,1283143.18094,142076.219,131743.42557,,2056.66507,36484.25906,4942.15058,10446.46298,1819.31601,,20151.33578,640.3253,62287.14899,9444.52653,,118365.77153,755.10684,616428.60041,21621.2146,45883.04354,6952.59362,10841.11653,2197454.83467,19253.6244,4970.07122,117572.70346,3710.54486,111932.44579,2359.04332,1565.90557,417.08087,117221.21636,16547.3257,59691.75788,,,,116061.49574,819.1771,639.37626,369.725,147.54486,1779.12463,,449.17349,121.60582,20323.80424,,396.29789,721.70666,1504.42475,,,2068.85298,0.0031,765.77317,,164.17641,152.90526,,,,,
2023-02-01,60853.84017,1256490.22395,141598.10775,146733.10416,,2002.63473,36978.08273,4870.43395,10491.52739,1765.30087,,23764.93539,652.31552,62064.7944,9232.52194,,117401.09014,748.99726,626626.17293,20683.67297,45814.2225,6775.85676,11719.45038,2137962.12764,19792.20926,5703.72952,113881.67961,3985.76445,111975.58093,2406.95456,1527.32969,403.06502,116937.24019,16679.1882,59855.63242,,,,110406.69165,804.02822,609.58736,350.34062,0.93954,1765.10032,,372.40112,124.53361,20332.46346,,586.40818,737.34108,1525.27159,,,1181.95388,,782.802,,155.54168,148.95566,,,,,
2023-03-01,60853.84017,1221816.9298,140905.39433,140160.27488,,1945.51803,37722.34143,4505.07013,10414.72506,1708.23769,,28894.26836,2405.3928,62483.38758,9082.17335,,102492.54957,942.24494,584187.78292,23185.23368,45003.77841,6772.15062,14944.98517,2126302.17985,9815.56777,6797.03503,110090.85091,3968.47457,95949.26964,2450.22926,1447.6109,985.70587,116883.81001,16813.03002,59137.22332,,,,109092.33742,765.67558,577.87458,329.75313,,1770.5824,,361.47003,127.17806,295.89041,,914.45822,751.46251,1433.87224,,,1464.7725,,798.14451,,146.41114,141.99482,,,,,
2023-04-01,61140.62978,1352413.55737,46232.78749,132205.37096,,1894.70736,38235.81573,4356.67324,10431.27603,1657.39617,,31062.42307,2329.19915,62139.01576,8954.49798,,97559.85095,927.21672,584213.82627,26040.31741,961.33132,6741.51568,21563.04248,1876084.98223,9700.02669,6767.29499,106499.63154,3974.16722,96339.31321,2652.64242,1449.42947,968.41393,63480.84455,16932.40641,57816.10241,,,,107562.76334,685.19439,550.04042,311.44062,,1744.85895,,661.05143,130.10583,20032.87671,,1687.78803,767.09693,732.10729,,,1438.55602,,815.13087,,138.27225,135.9961,,,,,
2023-05-01,61187.02363,1221498.5044,46209.71693,182253.60717,2770.07623,1839.77455,38721.09975,4845.02317,10405.37248,1602.44557,501.67163,20405.34091,2071.21152,56523.73114,8951.56486,,95549.67985,908.08358,589571.3227,29484.29957,1564.47323,3171.5335,21198.75381,2125382.09203,10121.09733,6492.76654,102780.11454,4089.86737,91364.03464,2690.31278,1397.63806,928.71473,63254.72902,17073.25017,57868.88601,,,,105589.89741,714.70376,519.61771,291.68438,,1752.91042,,825.90932,132.93916,20328.76703,,2520.57622,782.22703,953.85574,,,1407.07611,,831.56928,,,129.40307,,,,,
2023-06-01,83178.07088,1220372.76614,46232.7875,184203.62818,2908.59363,1786.80075,38781.05726,4909.90316,10438.64112,1549.33862,496.61704,20326.63566,1996.29009,56525.7157,8958.4587,715.73335,94465.45022,890.07425,592631.11012,28188.13778,4300.58262,3394.43428,19228.73032,2177968.75862,10518.3233,6409.56064,99118.68529,4503.62437,90005.62461,2948.29814,1246.41126,881.2723,62145.19121,17225.08446,55964.86754,,,,104712.0177,769.13039,490.41271,272.60625,,1762.00525,,800.31388,135.86694,273.9726,,1367.84543,798.33375,908.67472,,,1258.24666,,848.55562,,,122.69871,,,,,
2023-07-01,83426.90009,1223527.94226,46209.71693,173799.11526,1337.08942,1731.84278,40297.2147,5025.62402,10827.42937,1494.52935,975.61155,31656.99055,1922.35089,56519.8419,8955.59177,694.32499,93893.18712,870.92634,403685.17088,26897.88468,22834.40382,3399.71927,13200.04089,2013401.2798,11130.36756,6415.69449,99087.98851,4472.78633,89949.44917,2885.96759,1194.5452,860.64926,55898.29138,17339.43981,55904.54354,,,,102738.20808,711.8702,460.11979,252.89375,,1776.89578,,916.71954,138.70027,,,2659.79746,812.99157,912.36286,,,1284.25508,,864.99403,,,116.07561,100.89877,,,,
2023-08-01,86038.51249,1241914.18777,46232.7875,175116.66397,1245.26846,1678.8728,39785.21283,5189.50366,10420.06342,1441.43252,1149.9958,39302.80141,1851.29767,56539.75818,8962.55528,664.8706,92315.46065,852.94923,408978.49475,25853.49805,16111.40767,3299.8022,14810.53948,2021481.74701,11480.81427,7009.54396,99878.04909,4313.66868,83316.46923,2923.3642,941.78178,1499.05872,56012.10811,17501.12946,54989.3197,,,,100885.33105,380.12851,430.83312,233.72812,,1773.76419,,875.99262,141.62805,,,2580.9853,828.62601,878.60649,,,1328.88204,,881.98039,,,109.76032,99.31275,,,508.51577,
